label,pattern,attr,replace,category,hyphenate,pos
subpart,margins,lower,margin,,,NOUN
subpart,pore,lower,pore,,,NOUN
subpart,pores,lower,pore,,,NOUN
subpart,rachis,lower,rachis,,,NOUN
subpart,sinus,lower,sinus,,,NOUN
subpart,sinuses,lower,sinus,,,NOUN
subpart,stipe,lower,stipe,,,NOUN
subpart,stipes,lower,stipe,,,NOUN
subpart,surface,lower,surface,,,NOUN
subpart,surfaces,lower,surface,,,NOUN
subpart,teeth,lower,tooth,,,NOUN
subpart,tube,lower,tube,,,NOUN
subpart,tubes,lower,tube,,,NOUN
subpart,vein,lower,vein,,,NOUN
subpart,venation,lower,vein,,,NOUN
subpart,veins,lower,vein,,,NOUN
subpart,wing,lower,wing,,,NOUN
subpart,wings,lower,wing,,,NOUN
woodiness,herb,lower,herbaceous,literal,,NOUN
